Rank,Name,Pos,Team,Cost
67,Drake London,WR,ATL,3.5
147,Cleveland Browns,DST,CLE,0.5
227,Mecole Hardman,WR,NYJ,0.0
68,Brandon Aiyuk,WR,SF,3.0
148,New York Jets,DST,NYJ,0.5
228,Michael Wilson,WR,ARI,0.0
69,George Kittle,TE,SF,3.0
149,New England Patriots,DST,NE,0.5
229,Marvin Mims Jr.,WR,DEN,0.0
70,Kyle Pitts,TE,ATL,3.0
150,Green Bay Packers,DST,GB,0.5
230,Corey Davis,WR,NYJ,0.0
71,Dallas Goedert,TE,PHI,3.0
151,Justin Tucker,K,BAL,0.5
231,Wan'Dale Robinson,WR,NYG,0.0
72,Deshaun Watson,QB,CLE,3.0
152,Daniel Carlson,K,LV,0.5
232,Mack Hollins,WR,ATL,0.0
73,Trevor Lawrence,QB,JAC,3.0
153,Evan McPherson,K,CIN,0.5
233,Tutu Atwell,WR,LAR,0.0
74,Christian Kirk,WR,JAC,2.5
154,Graham Gano,K,NYG,0.5
234,Kendrick Bourne,WR,NE,0.0
75,Michael Pittman Jr.,WR,IND,2.5
155,Harrison Butker,K,KC,0.5
235,Trayveon Williams,RB,CIN,0.0
76,George Pickens,WR,PIT,2.5
156,Jason Myers,K,SEA,0.5
236,Raheem Blackshear,RB,CAR,0.0
77,Treylon Burks,WR,TEN,2.5
157,Tyler Bass,K,BUF,0.5
237,Isaiah Spiller,RB,LAC,0.0
78,Javonte Williams,RB,DEN,2.0
158,Younghoe Koo,K,ATL,0.5
238,Zamir White,RB,LV,0.0
79,Dalvin Cook,RB,NYJ,2.0
159,Matt Gay,K,IND,0.5
239,Corey Clement,RB,ARI,0.0
80,Isiah Pacheco,RB,KC,2.0
160,Eddy Pineiro,K,CAR,0.5
240,Kene Nwangwu,RB,MIN,0.0
